date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:35:38	389260/389260	---MCZ	200	added ('OK')	text/html	etag:W/%224c1ab566d1e2456f91f86a5e7cea7ba6%22	https://sammishop.com/pages/deal-sieu-hot	D:/MyProject/clone/copy/sammishop.com/pages/deal-sieu-hot.html	(from )
01:35:38	343/343	---MCZ	200	added ('OK')	text/plain	date:Thu,%2018%20Jun%202026%2018:35:38%20GMT	https://sammishop.com/robots.txt		(from )
01:35:39	4973/4973	---M--	200	added ('OK')	image/png	etag:%2237b4fa45eed64806530f3b735510d93d%22	http://theme.hstatic.net/200000551679/1001345525/14/favicon.png?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/favicon069c.png	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:39	671/671	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jun%202026%2018:35:39%20GMT	https://assets.harafunnel.com/widget/442632045777507/1463076.js	D:/MyProject/clone/copy/assets.harafunnel.com/widget/442632045777507/1463076.2.delayed	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:39	2741/2741	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Jun%202026%2018:35:39%20GMT	https://app.harasocial.com/widget/442632045777507/1463076.js	D:/MyProject/clone/copy/app.harasocial.com/widget/442632045777507/1463076.js	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:40	54006/54006	---MCZ	200	added ('OK')	text/css	etag:W/%22e2ccfc6ea1ee10955b53147a8c771e0b%22	http://theme.hstatic.net/200000551679/1001345525/14/main.scss.css?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/main.scss069c.css	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:40	8130/8130	---MCZ	200	added ('OK')	text/css	etag:W/%22b09a7ae9e76acd97513a04c989fe35d5%22	http://theme.hstatic.net/200000551679/1001345525/14/index.scss.css?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/index.scss069c.css	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:41	153770/153770	---MCZ	200	added ('OK')	text/css	etag:W/%224a1e524a5756f15e0454bd90a27fca5b%22	http://theme.hstatic.net/200000551679/1001345525/14/bootstrap-4-3-min.css?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/bootstrap-4-3-min069c.css	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:41	934/934	---MCZ	200	added ('OK')	text/css	etag:W/%224237b7f385ce2d49bd703cc6c4881144%22	http://theme.hstatic.net/200000551679/1001345525/14/responsive.scss.css?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/responsive.scss069c.css	(from https://sammishop.com/pages/deal-sieu-hot)
01:35:41	20541/20541	---MCZ	200	added ('OK')	text/css	etag:W/%2283a8381e19a9e0dac90e0643190ad41b%22	http://theme.hstatic.net/200000551679/1001345525/14/product_infor_style.scss.css?v=1469	D:/MyProject/clone/copy/theme.hstatic.net/200000551679/1001345525/14/product_infor_style.scss069c.css	(from https://sammishop.com/pages/deal-sieu-hot)
